Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,651.987861948108,628.146803888496,592.476164793256,520.251954939821,530.14986261654,502.057099211089,500.52298078433,516.866797351726,363.674087113049,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.230435515505,1126.68334010717,4413.06339738921,4578.63320812155,3952.80358410846,4124.05538986272,4531.03220675893,5287.66081699731,5396.21422690995,5343.0377039956,6377.20309553753,6802.80451885113
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2431.55126920399,1780.37607069151,5519.77757552373,5516.22946321562,4197.41997101868,3967.20065952107,4134.93609898195,4171.79530903532,4021.98360796603,3354.15730265114,3700.31119460857,4273.92218311515
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,12038.8715916596,12313.9973571825,13101.5418159165,13300.8246114811,12372.8847825647,13195.9358995539,13672.576657298,15501.5263374397,15743.3107582991,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,19208.6728089557,21620.4684882246,44747.7538640509,45680.5349900379,38885.5303237179,39931.2169819106,40632.2315536054,42904.8284555114,41328.6004993451,37207.2220000095,42072.341103463,41992.7933583772
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,949.349840556856,556.88424373456,5101.98387641128,5059.08044128816,3100.83068530533,1709.51553404553,2283.21423255725,2487.50099555267,2142.23875712854,1502.95075414518,1903.71740495688,2998.50115810921
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7255.40630322086,11010.1974601342,13350.149136673,14004.8112122163,14861.8827074704,15862.6516627488,16110.31239978,17514.3558637327,18187.7797117112,15284.7723835378,16740.3481963818,18745.1735087796
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4330.96745108666,7666.51783423783,13080.2547323367,12334.7982453893,13789.060424772,12790.2640639201,14613.035714704,11795.1628852236,9963.67423069626,8496.428156755,10636.1155301986,13686.0086737317
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,634.5604132585,603.298025247115,3833.15707143416,4017.22991251531,3666.14182536082,3679.95234910427,4041.99507231389,4391.92327364082,4828.50488860645,4505.86774552638,4966.51347122366,7014.20659172274
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,11638.7337057728,21023.1575127316,26515.678080228,26942.3079764655,28421.3864931862,28451.2737445083,29326.7080582111,30918.5152176932,31902.7625819564,24487.863569428,29342.1007300268,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18249.533940858,21853.4499933573,68156.3861047269,62515.3148315008,56708.96119674,49876.7123761245,53934.1543741253,57206.9906696898,54941.0657202842,51722.0690001531,60444.5023551978,64491.4298860631
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.989623313,24625.6007227434,50731.1272541851,51786.3771747897,44195.8175947748,45307.5878620442,47429.1584564391,51466.5565633624,50070.4033482892,48809.2268762235,53637.7057109897,52131.4466586387
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1234.5308900513,655.097432602586,7875.3446110554,7890.83525042681,5500.50462041954,3880.68626683773,4147.19861886412,4739.79524170312,4805.75371765917,4229.91064904503,5408.04535175023,7736.70123206975
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,11696.5113658614,24849.6064784902,27389.6019706988,28720.6621934516,29724.9533355233,29675.5358910641,30708.9870181946,31483.9788408235,32279.0113630465,23998.2680191207,28260.4325506367,31458.300811739
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,8174.79723172088,12738.7741181575,25790.7303121382,25464.760097715,22795.4488576612,22867.1811196134,24349.9098701325,25415.8466249472,25869.1129129041,23433.1872362574,26860.0725018105,30152.0346838601
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,294.904656691568,413.100185264402,973.773900233539,1108.51495720707,1236.00439770048,1659.96248898672,1815.61019133661,1963.41270740562,2122.0783861524,2233.30589251829,2457.92404902236,2688.30395035828
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7772.80875684304,11560.2459031879,16893.6062702039,16924.1903399365,16990.2194668498,17343.7254395315,17843.1979282703,18224.8905923744,19002.9623813263,16643.8065787177,17225.4623044097,20018.5151513054
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,2124.76794393518,1276.2880341,7998.07795284714,8341.28810376533,5967.0691848005,5039.77603167897,5785.53497525452,6360.05206042843,6837.76723174438,6542.8645398436,7489.71894713888,7904.85624285517
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20600.3752789827,23098.8865077401,46757.9518559601,47764.0715120825,41008.296719472,42012.6227191027,44198.4823908695,47544.9811472749,46641.7116578097,45517.9038182019,51268.3880373598,49582.8253649187
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,3009.49126179562,4642.1470345998,5887.93343545467,6068.08860885237,6142.47883269283,6148.70696109313,6100.99468097883,6059.16255306675,6210.56554311929,5266.87616004213,6228.26730928353,6968.36158480889
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,381.805056333014,502.997981047457,1214.29556576578,1251.50476542685,1041.65252315982,1049.82030349922,1095.27445905127,1194.43821427137,1170.96553298105,1237.9492953503,1361.10074905831,1303.22201358944
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,26841.5197383946,56284.1686478094,99471.6388978631,98467.683993982,102005.62564189,106885.878489327,111820.581466347,113050.73688163,116153.166121638,107791.886435134,111774.669092278,118845.621104325
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,515.299721559535,722.826756164774,2409.43998870348,2589.89914074134,2695.63690417126,2879.54657217991,3240.70632594822,3210.70781406979,3303.96230868215,3009.92551590976,3266.36277371286,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,685.942717677007,977.329470360318,2853.79716191598,3022.46288443562,2975.64881143063,3013.50270721666,3280.0082139387,3471.0069506501,3472.38083136442,3068.81255516456,3345.19658838387,3523.27373305196
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,..,1332.21052295102,5025.24065229631,5196.96942563586,4654.60955224718,4917.26369838618,5327.39318443711,6024.49154590957,6094.72321376258,6095.10247869327,7230.19816280366,7585.37500171521
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,2825.72503382508,3351.6965168531,6436.60306321162,6844.03299550537,5869.73777207249,6411.55166554553,6705.34106167973,6947.81784114167,6691.16105117407,5875.07060571282,7238.79609591086,7737.65468112589
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3085.39621553317,3726.81142041068,12258.5648491717,12071.4046547485,8783.21441310718,8680.73542054827,9896.7175109967,9121.02009249958,8845.3239312417,6923.70019715065,7696.78553127562,8917.67389796927
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,13440.6668227521,17971.8888128415,43950.0570624107,41035.7731365374,30681.4374376753,26762.0374289176,28186.9833864683,31241.0239732766,30748.3201899098,27179.3444218249,31448.9136078023,37152.4662378669
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2366.52982128614,1621.26210738992,7686.62922249699,7912.52053999441,7081.10233572915,7574.19126408348,8386.58920224077,9451.850869564,9878.76887237072,10153.4766003869,12222.235645941,13772.476794451
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,339.631822581939,249.802075679455,762.303780331201,767.371344245295,632.126685840944,665.786328528158,711.184543938412,779.202768060739,772.166877547544,833.244336106076,893.077195986297,832.884265674075
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,206.444928267383,138.004617225366,241.547665658082,257.818557465694,289.359627144769,242.539527360495,244.145422138192,232.060616581243,216.972970864849,216.827417445762,221.15780340632,238.44187565548
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,841.805013643187,1176.70725787049,3757.65995326233,3739.27827890219,3169.0789154116,3312.69675666873,3534.34358304479,3860.45481136132,3928.30909558631,3223.73560213047,3557.83777540965,3902.58904940059
